,Día de la semana,Electricidad (kW),Fotovoltaica (kW),Refrigeración (kW),Calefacción (kWh),Energía total (kWh),Emisión (kg CO₂)
2014-01-01,2,490049.27999999997,62795.469999999994,243369.71769999998,20107.601310000002,753526.59901,469960.0
2014-01-02,3,556486.56,64284.0,323886.05169,23987.861350000003,904360.47304,564020.0
2014-01-03,4,545831.45,67187.06,337004.60237,22112.20695,904948.25932,564390.0
2014-01-04,5,511495.56,46798.28,252493.06188999998,21074.73561,785063.3575,489640.0
2014-01-05,6,502806.8,70162.87,249265.37031,22777.47812,774849.64843,483270.0
2014-01-06,0,543968.35,71666.6,285299.00483,27314.217200000003,856581.57203,534210.0
2014-01-07,1,562002.91,52517.04,274781.34599,23633.245440000002,860417.50143,536630.0
2014-01-08,2,557214.72,66145.06,265609.15067,24020.09916,846843.96983,528160.0
2014-01-09,3,563161.1,50888.52,243592.3438,23108.648350000003,829862.09215,517550.0
2014-01-10,4,520356.52999999997,62773.62,235918.63667,22238.22748,778513.39415,485540.0
2014-01-11,5,452868.57,63534.39,259955.538,19981.58078,732805.68878,457030.0
2014-01-12,6,454181.21,56568.2,248751.22008,19899.520900000003,722831.95098,450820.0
2014-01-13,0,532264.77,70130.9,294574.52961,22443.377180000003,849282.67679,529680.0
2014-01-14,1,531612.79,69951.99,301515.32911,23135.02474,856263.14385,534040.0
2014-01-15,2,527641.15,71753.57,355247.70341,19832.11457,902720.96798,563000.0
2014-01-16,3,538823.08,71756.18,351254.22025,20421.187280000002,910498.48753,567850.0
2014-01-17,4,524548.48,73169.43000000001,376231.25085,19207.873340000002,919987.60419,573750.0
2014-01-18,5,475252.19,71778.87,352711.94641,18762.405420000003,846726.54183,528070.0
2014-01-19,6,462119.24,47346.33,333381.10761,18469.334420000003,813969.68203,507630.0
2014-01-20,0,484118.27,71741.57,316552.89567,20031.402850000002,820702.56852,511830.0
2014-01-21,1,529940.84,69975.09999999999,380635.20308,18155.748450000003,928731.79153,579220.0
2014-01-22,2,534387.82,71463.12,409469.99581,16110.112870000003,959967.92868,598720.0
2014-01-23,3,535259.09,70883.74,355372.8031,18548.463590000003,909180.35669,567030.0
2014-01-24,4,519143.58999999997,41132.88,372976.86524,17021.56368,909142.0189200001,566970.0
2014-01-25,5,471229.45,69239.0,383146.51693,15471.218090000002,869847.18502,542500.0
2014-01-26,6,466885.76,76325.56,336451.55412,17185.68344,820522.99756,511750.0
2014-01-27,0,534384.0,71552.37999999999,371526.0324,16757.79978,922667.83218,575430.0
2014-01-28,1,539315.06,74181.85,341932.83379,18457.61158,899705.50537,561120.0
2014-01-29,2,537589.36,74057.65,342029.76231,17959.390880000003,897578.51319,559830.0
2014-01-30,3,533899.65,63838.35,386776.76433,16230.271980000001,936906.68631,584320.0
2014-01-31,4,521007.13,34302.57,367028.59831,16675.7399,904711.46821,564200.0
2014-02-01,5,473465.78,68275.06999999999,289630.26067,18917.733050000003,782013.7737199999,487730.0
2014-02-02,6,461730.68,78534.66,254685.94656,20605.82201,737022.44857,459650.0
2014-02-03,0,536998.35,37603.979999999996,256509.37038,21819.13595,815326.85633,508510.0
2014-02-04,1,506773.85000000003,70007.68000000001,236655.852625,22480.011055000003,765909.71368,475595.0
2014-02-05,2,563025.3,43962.38,260541.50537,21637.431930000002,845204.2373,527130.0
2014-02-06,3,619783.78,29253.43,225608.30498000002,21191.96401,866584.04899,540500.0
2014-02-07,4,588759.17,73075.46,274199.77487,35575.88869000001,898534.83356,560400.0
2014-02-08,5,550654.75,81153.86,284365.59303,94553.49673,929573.83976,579720.0
2014-02-09,6,515737.86,84841.59,309851.81489,96607.92444,922197.59933,575140.0
2014-02-10,0,573741.96,78807.15,358150.49453,93231.74652,1025124.20105,639340.0
2014-02-11,1,603551.35,82768.08,392648.53651,84782.50959,1080982.3961,674180.0
2014-02-12,2,606378.92,83869.06,391610.52913,63953.95362000001,1061943.40275,662300.0
2014-02-13,3,610911.03,85486.41,419120.22177,48236.55589,1078267.80766,672480.0
2014-02-14,4,590465.86,83559.34,448390.24325,90834.42574,1129690.52899,704540.0
2014-02-15,5,541998.89,84673.01,438303.45208,84615.45912000001,1064917.8012,664150.0
2014-02-16,6,510099.48,70741.68,438584.46038,85550.35561000001,1034234.29599,644990.0
2014-02-17,0,549178.96,89492.57,491491.71131000004,86769.53097,1127440.20228,703120.0
2014-02-18,1,557832.33,82113.83,505245.01015,85245.56177000001,1148322.90192,716120.0
2014-02-19,2,556231.6,68619.85,461258.03183,83226.30258,1100715.93441,686460.0
2014-02-20,3,556052.23,92514.44,433121.22292,98128.96293000001,1087302.41585,678090.0
2014-02-21,4,539086.94,75119.74,383962.28508,96780.83633,1019830.0614100001,636030.0
2014-02-22,5,486365.97000000003,78824.33,376918.12095,107217.09464000001,970501.18559,605250.0
2014-02-23,6,473311.54,71082.82,391982.48705,95283.24352,960577.27057,599070.0
2014-02-24,0,564926.78,81633.64,447714.55721,92481.48476,1105122.8219700002,689210.0
2014-02-25,1,582404.52,39900.53,439080.07602,88821.02797000001,1110305.62399,692450.0
2014-02-26,2,585274.83,85151.07,468413.54417999997,82997.7072,1136686.08138,708910.0
2014-02-27,3,582272.1,84133.6,465332.96871,82358.81242,1129963.88113,704690.0
2014-02-28,4,570840.47,73633.8,473186.85175,76007.96385,1120035.2856,698480.0
2014-03-01,5,556919.39,36217.95,415822.26052999997,103943.49157000001,1076685.1421,671440.0
2014-03-02,6,525920.42,73251.05,323016.29759,94301.45567000001,943238.17326,588240.0
2014-03-03,0,571778.06,102430.99,395916.81427,84712.17255,1052407.04682,656350.0
2014-03-04,1,595818.15,84225.29,429755.77045,80125.61140000001,1105699.53185,689560.0
2014-03-05,2,594040.62,106325.02,471762.81845,79589.29147000001,1145392.72992,714340.0
2014-03-06,3,594790.26,59947.8,472845.59724,82024.71148000001,1149660.56872,716990.0
2014-03-07,4,568745.245,108304.54,466393.010095,86543.86630000001,1121682.121395,699535.0
2014-03-08,5,522105.43,114411.87,470154.45918,81374.09386000001,1073633.98304,669560.0
2014-03-09,6,492839.33,118019.83,439810.90862,87264.82096000001,1019915.05958,636060.0
2014-03-10,0,522480.02999999997,114575.52,467209.28821,85608.96981000001,1075298.28802,670620.0
2014-03-11,1,544919.96,113121.56,461959.7085,87282.40522,1094162.07372,682370.0
2014-03-12,2,544714.09,107565.92,478783.80555,93838.40349000001,1117336.29904,696820.0
2014-03-13,3,548307.02,83044.54000000001,502470.6247,76884.24614,1127661.89084,703280.0
2014-03-14,4,534787.86,92644.89,477211.42519,77742.94417,1089742.22936,679640.0
2014-03-15,5,506740.51,119789.95,465998.17409,83490.06648000001,1056228.75057,658710.0
2014-03-16,6,497232.64,120147.68,470216.60457,98524.60878000001,1065973.85335,664780.0
2014-03-17,0,560580.91,120127.1,520885.07398,92197.20589000001,1173663.18987,731950.0
2014-03-18,1,591848.92,120240.01,536641.48017,86420.77648,1214911.17665,757680.0
2014-03-19,2,592691.53,118440.3,497265.25368,105804.49242000001,1195761.2761,747840.0
2014-03-20,3,594169.83,95393.83,505052.73576,88489.85774,1187712.4235,740730.0
2014-03-21,4,584274.84,119220.95,520434.47594,90113.47108,1194822.78702,745130.0
2014-03-22,5,545576.25,109911.29,485671.35767,83745.03825000001,1114992.64592,695360.0
2014-03-23,6,524693.97,110319.46,504734.5176,76520.83810000001,1105949.3257,689690.0
2014-03-24,0,588920.3,111752.45,577854.0027,72784.18285,1239558.48555,773030.0
2014-03-25,1,588148.21,105344.5,596458.51066,67541.14266000001,1252147.86332,780870.0
2014-03-26,2,601453.0994117646,108598.11352941177,554640.3007341176,72851.76157470589,1228945.1617205883,766397.6470588235
2014-03-27,3,620915.2305882353,180411.78647058824,539207.8247258824,58936.40570529412,1219059.4610194117,760282.3529411765
2014-03-28,4,592408.22,113830.57,488279.28351,79855.98608,1160543.48959,723790.0
2014-03-29,5,529527.11,118454.41,507077.12096,70205.15805,1106809.38901,690250.0
2014-03-30,6,536622.19,73310.52,486594.99221,70838.19141,1094055.37362,682300.0
2014-03-31,0,581707.1,123469.37,529466.55398,83035.80643000001,1194209.46041,744770.0
2014-04-01,1,611974.43,127749.83,514248.60049,87724.94243000001,1213947.97292,757080.0
2014-04-02,2,610209.66,109620.11,391152.79158,108916.90644,1110279.35802,692430.0
2014-04-03,3,614238.96,142382.5,376860.86419,86373.88512,1077473.70931,672000.0
2014-04-04,4,597491.23,127728.76,428663.9178,86546.79701000001,1112701.94481,693940.0
2014-04-05,5,527890.6,139382.23,434731.4462,76723.05709,1039345.10329,648200.0
2014-04-06,6,552682.81,138888.13,443915.63448999997,78628.01859,1075226.46308,670550.0
2014-04-07,0,631151.18,138877.83,557097.61829,74712.59003,1262961.38832,787680.0
2014-04-08,1,656087.65,132855.6,640296.3330100001,61465.78083,1357849.7638400001,846820.0
2014-04-09,2,658168.49,116609.31,675326.35641,55894.50112,1389389.34753,866480.0
2014-04-10,3,657070.68,129441.13,729746.12836,63915.85439000001,1450732.66275,904720.0
2014-04-11,4,641594.61,116368.38,741353.45931,52134.40019,1435082.4695000001,894960.0
2014-04-12,5,563944.35,120217.06999999999,644001.77387,56193.433540000005,1264139.55741,788360.0
2014-04-13,6,537072.25,132875.64,587075.50636,67705.26242,1191853.01878,743290.0
2014-04-14,0,585643.15,144400.69,638326.7075,76450.50106000001,1300420.35856,811010.0
2014-04-15,1,601949.09,129036.27,669302.29813,69276.12298,1340527.51111,836020.0
2014-04-16,2,615682.7,136511.98,676158.16208,66867.07936,1358707.94144,847350.0
2014-04-17,3,615425.39,131202.82,718988.71563,54373.46263,1388787.56826,866120.0
2014-04-18,4,577290.34,46278.4,655899.43317,50645.59951,1283835.37268,800670.0
2014-04-19,5,538957.79,122199.04000000001,605382.86299,52738.12645,1197078.77944,746530.0
2014-04-20,6,505009.45999999996,131194.44,623564.52204,48506.18121,1177080.16325,734050.0
2014-04-21,0,591150.29,127815.57,771630.29238,45261.88524,1408042.46762,878090.0
2014-04-22,1,550735.89,109330.42,783874.34101,44151.14615,1378761.37716,859820.0
2014-04-23,2,529587.02,141851.37,691173.29018,54036.430980000005,1274796.74116,795010.0
2014-04-24,3,526425.62,131911.16,679375.75987,63710.704690000006,1269512.08456,791690.0
2014-04-25,4,513862.99,125856.14,685453.31172,53482.52679,1252798.8285100001,781290.0
2014-04-26,5,464574.57,97918.72,491269.12038,83290.7782,1039134.46858,648010.0
2014-04-27,6,443116.63,142820.1,457337.87812,67980.74916,968435.25728,603980.0
2014-04-28,0,507391.69,145279.51,615422.70221,65073.484840000005,1187887.87705,740820.0
2014-04-29,1,518731.8,157000.53,632757.99521,68745.66447,1220235.45968,760980.0
2014-04-30,2,521607.22,155157.74,638867.44625,78795.06906000001,1239269.73531,772830.0
2014-05-01,3,524560.37,143654.56,705317.92561,65565.84412000001,1295444.13973,807880.0
2014-05-02,4,520253.38,137713.47,751129.17183,55671.76716,1327054.31899,827590.0
2014-05-03,5,488067.02999999997,130189.49,750662.64178,49514.34545,1288244.0172299999,803360.0
2014-05-04,6,475561.39,133576.91999999998,766035.3081,47791.08797,1289387.78607,804090.0
2014-05-05,0,519294.2,130549.92,816764.48093,50598.708150000006,1386657.38908,864760.0
2014-05-06,1,515025.17,118142.78,668245.29895,57318.826180000004,1240589.29513,773640.0
2014-05-07,2,496978.72,130538.23999999999,524888.08821,74689.14435,1096555.95256,683870.0
2014-05-08,3,492835.48,142197.31,591569.03658,59481.690160000006,1143886.20674,713400.0
2014-05-09,4,490116.17,121830.6,642994.4699,51574.634580000005,1184685.27448,738820.0
2014-05-10,5,455517.58,138627.07,673644.70286,48611.68677000001,1177773.96963,734500.0
2014-05-11,6,430181.21,140434.85,565036.2962,61952.27869000001,1057169.78489,659280.0
2014-05-12,0,476303.09,149885.52,662759.51752,72054.43606,1211117.04358,755280.0
2014-05-13,1,485929.5,154085.4,679535.18548,61184.43267,1226649.11815,764980.0
2014-05-14,2,493380.26,149952.33,728526.78446,58365.08965,1280272.13411,798410.0
2014-05-15,3,542155.61,135732.04,793947.69724,44435.42502,1380538.73226,860960.0
2014-05-16,4,599992.56,134618.95,854231.78533,41402.140170000006,1495626.4855,932700.0
2014-05-17,5,579526.82,131075.68,810607.40971,40845.305270000004,1430979.53498,892410.0
2014-05-18,6,536862.15,113947.55,760081.62499,42902.66369,1339846.43868,835540.0
2014-05-19,0,587513.64,139119.44,870721.09915,44986.3985,1503221.13765,937460.0
2014-05-20,1,603195.8200000001,131691.7,816663.5782,43298.30954,1463157.70774,912480.0
2014-05-21,2,580289.02,141877.21,731622.09616,47193.223130000006,1359104.33929,847600.0
2014-05-22,3,569948.29,139935.23,694737.31247,48444.636300000006,1313130.23877,818920.0
2014-05-23,4,555692.17,134285.05,686576.67669,42471.84932,1284740.69601,801200.0
2014-05-24,5,522886.5,134033.28,633147.88983,40405.69877,1196440.0886,746140.0
2014-05-25,6,512920.44,121915.95999999999,710059.86154,34221.90067,1257202.20221,784020.0
2014-05-26,0,510621.35,129733.57,764732.47062,32829.813420000006,1308183.63404,815830.0
2014-05-27,1,642583.55,125148.20999999999,957364.22299,33794.01701,1633741.79,1018840.0
2014-05-28,2,630940.37,110253.34,565378.99268,37477.919480000004,1233797.28216,769450.0
2014-05-29,3,626690.39,96724.90000000001,634414.08017,38184.220590000004,1299288.69076,810310.0
2014-05-30,4,633068.14,127268.43,934136.44268,34708.398530000006,1601912.9812099999,999000.0
2014-05-31,5,594290.03,124925.74,861089.90016,33043.75525,1488423.68541,928200.0
2014-06-01,6,552845.68,131851.37,824268.31696,34819.765510000005,1411933.76247,880530.0
2014-06-02,0,626397.36,120560.29000000001,986804.88931,35997.91093,1649200.16024,1028510.0
2014-06-03,1,650872.84,113954.9,978178.9896,36088.76294,1665140.5925399999,1038410.0
2014-06-04,2,639383.44,123781.06,971341.62507,41636.596970000006,1652361.66204,1030450.0
2014-06-05,3,645949.13,126326.27,943286.76226,40857.02811000001,1630092.92037,1016560.0
2014-06-06,4,695887.59,128327.18,920492.62805,39048.780040000005,1655428.9980900001,1032370.0
2014-06-07,5,632468.5,128205.02,841786.63464,36375.97252,1510631.10716,942110.0
2014-06-08,6,604523.09,128633.40000000001,849970.51779,33969.85961,1488463.4674,928260.0
2014-06-09,0,675300.61,125805.27,1013070.40803,35801.553360000005,1724172.57139,1075240.0
2014-06-10,1,724653.7,121893.19,1033901.03631,34186.73215,1792741.4684600001,1118030.0
2014-06-11,2,711457.79,125006.75,1009720.8524,35728.285610000006,1756906.92801,1095670.0
2014-06-12,3,702665.87,124378.04000000001,986013.24778,35886.54395,1724565.66173,1075450.0
2014-06-13,4,723511.48,119250.35,1051561.33528,34034.335230000004,1809107.15051,1128190.0
2014-06-14,5,634430.68,131793.59,865571.40224,36510.78518,1536512.86742,958210.0
2014-06-15,6,573414.29,92731.18,791783.58163,36329.08116,1401526.95279,874020.0
2014-06-16,0,641699.85,126014.62,921823.42568,40698.769770000006,1604222.04545,1000460.0
2014-06-17,1,694703.99,124704.27,979889.44738,35690.18638,1710283.6237599999,1066550.0
2014-06-18,2,667004.07,123315.22,925509.5582099999,36267.536250000005,1628781.1644599999,1015790.0
2014-06-19,3,673305.04,122409.0,911375.5089499999,36806.78689,1621487.3358399998,1011210.0
2014-06-20,4,680479.66,112156.35,984520.21094,35230.06491,1700229.93585,1060320.0
2014-06-21,5,639576.19,112761.70999999999,915931.74728,32815.15987,1588323.09715,990530.0
2014-06-22,6,598901.99,117143.81999999999,880143.88072,34764.08202,1513809.95274,944060.0
2014-06-23,0,650074.14,116799.56,1003091.16672,37436.889540000004,1690602.19626,1054320.0
2014-06-24,1,679053.41,116562.27,1001927.46176,37392.92889,1718373.80065,1071620.0
2014-06-25,2,689347.73,115903.62,1031072.80559,35118.69793,1755539.23352,1094780.0
2014-06-26,3,680874.48,100123.06,1055015.34581,36109.277910000004,1771999.10372,1105050.0
2014-06-27,4,674872.12,122485.09,1059097.0705,34183.80144,1768152.99194,1102680.0
2014-06-28,5,643629.07,118281.36,988754.39758,33562.490920000004,1665945.9585,1038930.0
2014-06-29,6,640945.94,117894.47,1052728.62758,31941.808290000004,1725616.37587,1076130.0
2014-06-30,0,685119.01,120027.81999999999,1253167.83859,32970.4875,1971257.3360899999,1229290.0
2014-07-01,1,679804.77,119320.56,1166700.81094,29362.78349,1875868.36443,1169840.0
2014-07-02,2,681604.75,116744.9,1179766.11424,28890.93918,1890261.80342,1178840.0
2014-07-03,3,702405.0700000001,113107.43,1269330.80998,28659.413090000002,2000395.2930700001,1247490.0
2014-07-04,4,597213.53,72166.48,1070036.31213,33216.667140000005,1700466.50927,1060450.0
2014-07-05,5,656518.74,107038.17,1175987.55495,38113.883550000006,1870620.1785,1166550.0
2014-07-06,6,627038.98,105300.9,1138846.34679,39863.517420000004,1805748.84421,1126100.0
2014-07-07,0,721316.0,114041.81,1390281.67093,33644.550800000005,2145242.22173,1337810.0
2014-07-08,1,755383.79,96739.99,1389594.58981,27715.72447,2172694.10428,1354920.0
2014-07-09,2,722163.34,74349.55,1310051.58557,32258.32497,2064473.25054,1287430.0
2014-07-10,3,726701.87,94650.5,1302267.7963400001,34813.90409,2063783.57043,1287020.0
2014-07-11,4,708629.63,111616.11,1275650.92932,35391.25396,2019671.8132800001,1259480.0
2014-07-12,5,648542.57,94823.17,1153977.39521,35672.60212,1838192.56733,1146310.0
2014-07-13,6,648999.39,87494.20999999999,1227325.3798,35432.2839,1911757.0537,1192220.0
2014-07-14,0,737270.79,96956.52,1439336.57591,36121.00075,2212728.36666,1379880.0
2014-07-15,1,740454.49,83049.33,1361816.37422,36373.04181,2138643.90603,1333670.0
2014-07-16,2,728255.81,103075.49,1293221.50962,37589.28646,2059066.60608,1284060.0
2014-07-17,3,684451.02,101393.36,1136988.17501,37703.58415,1859142.77916,1159400.0
2014-07-18,4,659442.94,111231.85,1069227.0855999999,37794.436160000005,1766464.46176,1101600.0
2014-07-19,5,649756.26,106240.3,1014826.833,36003.77235,1700586.8653499999,1060530.0
2014-07-20,6,583212.5,100201.98,941548.3091600001,36900.56961,1561661.37877,973870.0
2014-07-21,0,654831.78,119404.25,1151079.6334,37504.29587,1843415.70927,1149570.0
2014-07-22,1,706540.18,103883.27,1235341.99443,36408.21033,1978290.38476,1233710.0
2014-07-23,2,763795.69,111040.43,1435469.45856,35291.60982,2234556.75838,1393490.0
2014-07-24,3,779185.56,112637.05,1449905.61812,36434.58672000001,2265525.76484,1412810.0
2014-07-25,4,778349.45,99053.89,1479855.72189,35895.33608,2294100.50797,1430630.0
2014-07-26,5,685000.06,92168.05,1253771.95368,36642.66713,1975414.6808099998,1231900.0
2014-07-27,6,640571.16,95474.2,1169904.48141,37829.604680000004,1848305.24609,1152630.0
2014-07-28,0,744490.23,106151.3,1341000.62285,37439.820250000004,2122930.6731000002,1323900.0
2014-07-29,1,769801.3,117694.34,1324245.52934,36543.022990000005,2130589.85233,1328680.0
2014-07-30,2,751972.61,98669.09,1292947.46498,36540.092280000004,2081460.16726,1298070.0
2014-07-31,3,752412.79,83888.09,1303529.13322,36408.21033,2092350.13355,1304810.0
2014-08-01,4,744310.96,65573.05,1295473.05785,37533.60297000001,2077317.62082,1295440.0
2014-08-02,5,684096.19,55950.72,1148729.85536,37724.09912,1870550.14448,1166530.0
2014-08-03,6,643998.28,91648.54,1129658.25463,38532.975080000004,1812189.5097100001,1130110.0
2014-08-04,0,705740.52,100838.06,1210200.89578,38002.51657000001,1953943.93235,1218560.0
2014-08-05,1,712311.36,112692.26,1116368.14469,38213.52769,1866893.03238,1164260.0
2014-08-06,2,687154.3,118560.84,1061980.37744,39166.008440000005,1788300.68588,1115200.0
2014-08-07,3,670134.43,119828.7,1032071.2467199999,39444.425890000006,1741650.10261,1086140.0
2014-08-08,4,680548.86,114817.54,1080321.25108,35458.66029,1796328.77137,1120230.0
2014-08-09,5,666749.89,94344.57,1084305.13283,35713.63206,1786768.65489,1114270.0
2014-08-10,6,642851.61,119234.96,1093494.13941,35874.821110000004,1772220.57052,1105180.0
2014-08-11,0,741308.9,109332.55,1335060.33951,35646.225730000006,2112015.46524,1317080.0
2014-08-12,1,756189.84,75050.84,1338059.98881,37826.67397,2132076.5027799997,1329610.0
2014-08-13,2,750083.48,102261.88,1302536.67099,39960.23085,2092580.38184,1304970.0
2014-08-14,3,783023.15,114980.57,1380484.43437,38037.68509,2201545.26946,1372920.0
2014-08-15,4,749151.04,110714.8,1308911.93689,37302.07688,2095365.05377,1306710.0
2014-08-16,5,749889.82,116270.18,1305020.30605,36264.605540000004,2091174.73159,1304100.0
2014-08-17,6,721746.8,103785.56,1281971.54104,36903.50032000001,2040621.84136,1272570.0
2014-08-18,0,779393.29,97456.13,1362056.51498,38280.93402,2179730.739,1359310.0
2014-08-19,1,782480.28,75279.03,1308484.34003,42442.54222,2133407.16225,1330430.0
2014-08-20,2,743520.27,115020.47,1167287.41137,40880.473790000004,1951688.1551599998,1217110.0
2014-08-21,3,727475.0,44340.83,1084975.22684,43184.01185,1855634.23869,1157180.0
2014-08-22,4,726113.09,106474.77,1090755.20532,44370.949400000005,1861239.24472,1160710.0
2014-08-23,5,675869.9,108637.44,962480.26221,41358.179520000005,1679708.34173,1047520.0
2014-08-24,6,650645.96,103728.48000000001,989059.14563,40033.498600000006,1679738.60423,1047480.0
2014-08-25,0,771343.82,100174.77,1277914.9629,40332.43102,2089591.21392,1303110.0
2014-08-26,1,810067.75,100668.78,1321916.64228,40807.206040000005,2172791.59832,1354980.0
2014-08-27,2,804779.4299999999,103218.85,1287266.98243,41466.61579,2133513.02822,1330500.0
2014-08-28,3,788503.08,119006.0,1218930.82835,39382.88098,2046816.78933,1276440.0
2014-08-29,4,734363.82,118593.46,1129806.81271,38538.836500000005,1902709.46921,1186550.0
2014-08-30,5,685810.71,119635.94,1057022.32186,37510.15729,1780343.18915,1110270.0
2014-08-31,6,650604.5599999999,119842.78,1032669.76978,37680.138470000005,1720954.4682500002,1073210.0
2014-09-01,0,608374.85,123111.23,985767.72601,37779.78261,1631922.35862,1017690.0
2014-09-02,1,760552.29,116074.7,1188262.4124999999,37536.53368,1986351.23618,1238740.0
2014-09-03,2,766560.6,102035.14,1206493.23921,37161.4028,2010215.24201,1253620.0
2014-09-04,3,786322.97,86450.47,1295473.40955,37099.85789,2118896.23744,1321400.0
2014-09-05,4,767391.85,118056.59,1276817.9754299999,40059.874990000004,2084269.70042,1299800.0
2014-09-06,5,747112.59,110424.05,1268656.56591,39177.73128,2054946.8871900002,1281510.0
2014-09-07,6,709179.36,105606.9,1230891.44195,38852.422470000005,1978923.22442,1234110.0
2014-09-08,0,650346.37,47920.08,968721.81177,41384.55591,1660452.73768,1014220.0
2014-09-09,1,819305.01,75374.9,1367367.00913,42076.20347,2228748.2226,1389890.0
2014-09-10,2,808607.17,106174.25,1311469.14759,41551.606380000005,2161627.92397,1348030.0
2014-09-11,3,765377.92,112497.37999999999,1242193.88417,39939.71588,2047511.52005,1276880.0
2014-09-12,4,739689.79,112826.57,1181248.00219,39511.832220000004,1960449.62441,1222580.0
2014-09-13,5,699939.92,103640.89,1105248.5513,38741.05549,1843929.52679,1149930.0
2014-09-14,6,664342.3,99820.45,1093136.2846600001,39280.306130000004,1796758.89079,1120490.0
2014-09-15,0,773507.52,89885.64,1342078.65369,39028.26507,2154614.43876,1343650.0
2014-09-16,1,810261.4299999999,41223.979999999996,1339183.9165,42832.32665,2192277.67315,1367150.0
2014-09-17,2,789528.12,49239.72,1317677.14497,43189.873270000004,2150395.13824,1341030.0
2014-09-18,3,772366.24,112683.03,1260555.93015,42401.51228,2075323.68243,1294230.0
2014-09-19,4,782801.71,92287.75,1334212.21496,40997.70219,2158011.62715,1345770.0
2014-09-20,5,725036.31,67292.47,1241319.69865,40393.97593,2006749.98458,1251430.0
2014-09-21,6,643182.49,86122.28,1069445.42096,40877.54308,1753505.45404,1093530.0
2014-09-22,0,715500.63,90665.24,1158536.3768,40250.37114,1914287.37794,1193810.0
2014-09-23,1,738808.45,115149.52,1115799.12926,40713.42332,1895321.00258,1181980.0
2014-09-24,2,729883.37,110544.22,1089344.29043,39936.78517,1859164.4456,1159420.0
2014-09-25,3,778166.64,102389.53,1234577.22278,39476.663700000005,2052220.52648,1279810.0
2014-09-26,4,782599.05,85820.62,1327465.80005,39766.80399,2149831.65404,1340650.0
2014-09-27,5,683758.44,68977.9,1089193.69249,44543.86129000001,1817495.99378,1133440.0
2014-09-28,6,588039.03,118785.0,875265.87206,45288.26163,1508593.16369,940790.0
2014-09-29,0,623544.78,116028.19,864011.50723,46929.45923,1534485.74646,956970.0
2014-09-30,1,632290.06,119649.52,805059.9752699999,45332.22228,1482682.25755,924640.0
2014-10-01,2,635821.19,126177.25,821160.7309300001,48890.10422,1505872.0251500001,939130.0
2014-10-02,3,640539.21,120231.0,834853.08016,49156.79883000001,1524549.08899,950750.0
2014-10-03,4,623711.16,116714.08,834880.30174,54077.460920000005,1512668.92266,943350.0
2014-10-04,5,592934.89,106265.09999999999,805492.77729,47380.788570000004,1445808.45586,901660.0
2014-10-05,6,553558.7,103381.8,750227.87024,46900.15213,1350686.72237,842310.0
2014-10-06,0,654113.99,81958.16,870947.94565,54039.361690000005,1579101.29734,984750.0
2014-10-07,1,676078.59,58636.72,859208.7272,46771.20089000001,1582058.51809,986630.0
2014-10-08,2,673012.45,25514.7,855923.21614,53321.33774,1582257.00388,986750.0
2014-10-09,3,677118.52,73630.35,877784.85297,50513.717560000005,1605417.09053,1001190.0
2014-10-10,4,671865.02,107944.89,911996.04843,51911.66623,1635772.73466,1020130.0
2014-10-11,5,631140.19,105729.5,852554.31701,46686.2103,1530380.71731,954410.0
2014-10-12,6,579988.76,103064.12,757713.45304,52928.6226,1390630.83564,867230.0
2014-10-13,0,615286.9299999999,119434.86,726270.27726,65102.79194,1406659.9992,877210.0
2014-10-14,1,661559.9,117030.46,748774.82169,59376.1846,1469710.90629,916580.0
2014-10-15,2,656851.25,78613.16,779549.41577,56070.343720000004,1492471.00949,930740.0
2014-10-16,3,666680.16,108217.69,822706.87447,57488.807360000006,1546875.84183,964670.0
2014-10-17,4,637001.6,66433.41,762482.32919,54710.49428,1454194.42347,906880.0
2014-10-18,5,608651.6,89881.31,730582.36545,55871.055440000004,1395105.02089,870020.0
2014-10-19,6,580158.27,100101.16,740020.58665,53350.64484,1373529.50149,856590.0
2014-10-20,0,636179.7,107752.19,818175.32548,54291.40275,1508646.42823,940830.0
2014-10-21,1,674667.16,102319.06,837280.9356,53377.021230000006,1565325.11683,976190.0
2014-10-22,2,672091.57,104916.66,816323.20294,54927.36682,1543342.13976,962500.0
2014-10-23,3,678128.33,88919.6,809253.7515799999,53889.89548000001,1541271.97706,961170.0
2014-10-24,4,674695.32,105375.36,797272.9504,53860.58838000001,1525828.8587800001,951570.0
2014-10-25,5,671898.37,97497.56999999999,794638.54155,51814.95280000001,1518351.86435,946930.0
2014-10-26,6,622554.94,82469.42,757065.51613,53901.61832,1433522.07445,894000.0
2014-10-27,0,662450.79,98474.23,812057.3633,55627.80651,1530135.95981,954240.0
2014-10-28,1,657375.9,104221.70999999999,700597.90059,59502.20513,1417476.00572,883990.0
2014-10-29,2,655369.79,93107.36,698467.12614,60044.38648,1413881.30262,881740.0
2014-10-30,3,657395.93,79760.48999999999,719744.41342,59789.414710000005,1436929.75813,896120.0
2014-10-31,4,651015.26,96886.5,716234.9397999999,59393.768860000004,1426643.96866,889710.0
2014-11-01,5,655112.61,85170.08,666712.34416,57582.59008,1379407.54424,860250.0
2014-11-02,6,538092.65,72146.40000000001,428257.17675,78880.05965000001,1045229.8864,651880.0
2014-11-03,0,606897.4,98752.95,412613.3849,88741.89880000001,1108252.6837,691180.0
