,Día de la semana,Electricidad (kW),Fotovoltaica (kW),Refrigeración (kW),Calefacción (kWh),Energía total (kWh),Temperatura (°C),Punto de rocío (°C),Humedad (%),Velocidad del viento (m/s),Presión (hPa),Ráfaga de viento (m/s)
2014-01-15,2,527641.15,71753.57,355247.70341,19832.11457,902720.96798,16.05324074074074,-5.347222222222222,25.270833333333332,0.9965266666666667,981.7285709583333,0.0
2014-01-16,3,538823.08,71756.18,351254.22025,20421.187280000002,910498.48753,15.370370370370368,-3.5416666666666665,30.5,2.1048133333333334,977.90477225,0.0
2014-01-17,4,524548.48,73169.43000000001,376231.25085,19207.873340000002,919987.60419,15.717592592592593,-5.856481481481481,27.25,1.4156266666666666,977.6649029583333,0.0
2014-01-18,5,475252.19,71778.87,352711.94641,18762.405420000003,846726.54183,15.856481481481481,-4.930555555555555,26.0,2.2538266666666664,977.0299548333334,0.0
2014-01-19,6,462119.24,47346.33,333381.10761,18469.334420000003,813969.68203,15.833333333333334,-3.7268518518518516,29.041666666666668,1.7136533333333333,977.7636726666666,0.0
2014-01-20,0,484118.27,71741.57,316552.89567,20031.402850000002,820702.56852,15.763888888888888,-4.722222222222222,29.666666666666668,1.5273866666666667,978.6102701666667,0.0
2014-01-21,1,529940.84,69975.09999999999,380635.20308,18155.748450000003,928731.79153,17.12962962962963,-5.3240740740740735,27.625,2.1420666666666666,978.8924693333333,0.0
2014-01-22,2,534387.82,71463.12,409469.99581,16110.112870000003,959967.92868,18.35648148148148,-4.444444444444445,23.041666666666668,1.3597466666666669,972.2043490833333,0.0
2014-01-23,3,535259.09,70883.74,355372.8031,18548.463590000003,909180.35669,15.856481481481481,-3.1481481481481484,29.583333333333332,1.9744266666666668,973.7705544583333,0.0
2014-01-24,4,519143.58999999997,41132.88,372976.86524,17021.56368,909142.0189200001,17.766203703703706,-6.122685185185186,19.5,4.628726666666666,981.9049454375,0.0
2014-01-25,5,471229.45,69239.0,383146.51693,15471.218090000002,869847.18502,19.14351851851852,-5.162037037037037,19.583333333333332,1.73228,979.301658125,0.0
2014-01-26,6,466885.76,76325.56,336451.55412,17185.68344,820522.99756,16.203703703703702,-2.847222222222222,29.208333333333332,1.8626666666666667,975.0968905416667,0.0
2014-01-27,0,534384.0,71552.37999999999,371526.0324,16757.79978,922667.83218,17.708333333333332,-3.1944444444444446,25.458333333333332,2.5332266666666667,973.16382625,0.0
2014-01-28,1,539315.06,74181.85,341932.83379,18457.61158,899705.50537,15.543981481481481,-2.0370370370370368,32.166666666666664,1.9744266666666668,975.3085399166666,0.0
2014-01-29,2,537589.36,74057.65,342029.76231,17959.390880000003,897578.51319,15.879629629629628,-3.3564814814814814,29.583333333333332,2.0489333333333333,974.8005814166667,0.0
2014-01-30,3,533899.65,63838.35,386776.76433,16230.271980000001,936906.68631,17.5,-3.1944444444444446,26.25,2.5332266666666667,969.3823574166667,0.0
2014-01-31,4,521007.13,34302.57,367028.59831,16675.7399,904711.46821,16.75925925925926,1.0185185185185184,36.833333333333336,2.831253333333333,967.3787433333333,9.83488
2014-02-01,5,473465.78,68275.06999999999,289630.26067,18917.733050000003,782013.7737199999,14.375,-1.875,34.583333333333336,4.228253333333334,970.1442951666667,0.0
2014-02-02,6,461730.68,78534.66,254685.94656,20605.82201,737022.44857,12.430555555555555,-6.5740740740740735,27.708333333333332,1.695026666666667,974.85702125,0.0
